,ID,k,g,s,macro_m
64,8186.0,1.25,0.1,0.5,19.047619047619047
65,7897.0,1.35,0.4,0.3,-26.666666666666693
66,7896.0,1.35,0.3,0.3,30.769230769230703
67,8185.0,1.25,0.0,0.5,16.0
68,8184.0,1.15,0.9,0.5,-1.2698412698412698
69,8183.0,1.15,0.8,0.5,-1.6194331983805663
70,8182.0,1.15,0.7,0.5,-2.1390374331550803
71,8181.0,1.15,0.6,0.5,-2.962962962962963
72,8180.0,1.15,0.5,0.5,-4.395604395604395
73,8179.0,1.15,0.4,0.5,-7.272727272727269
74,8178.0,1.15,0.3,0.5,-14.814814814814811
75,8177.0,1.15,0.2,0.5,-57.14285714285703
76,7886.0,1.25,0.3,0.3,-36.36363636363637
77,7885.0,1.25,0.2,0.3,44.44444444444446
78,8176.0,1.15,0.1,0.5,80.00000000000017
79,8175.0,1.15,0.0,0.5,44.44444444444449
80,8174.0,1.05,0.9,0.5,-1.238390092879257
81,8173.0,1.05,0.8,0.5,-1.568627450980392
82,8172.0,1.05,0.7,0.5,-2.0512820512820515
83,8171.0,1.05,0.6,0.5,-2.7972027972027975
84,8170.0,1.05,0.5,0.5,-4.040404040404041
85,8169.0,1.05,0.4,0.5,-6.349206349206348
86,8168.0,1.05,0.3,0.5,-11.428571428571429
87,7875.0,1.15,0.2,0.3,-57.14285714285703
88,7874.0,1.15,0.1,0.3,80.00000000000017
89,7873.0,1.15,0.0,0.3,44.44444444444449
90,8167.0,1.05,0.2,0.5,-26.666666666666664
91,8166.0,1.05,0.1,0.5,-133.33333333333337
92,8165.0,1.05,0.0,0.5,399.9999999999993
93,8164.0,0.95,0.9,0.5,-1.238390092879257
94,8163.0,0.95,0.8,0.5,-1.568627450980392
95,8162.0,0.95,0.7,0.5,-2.0512820512820515
96,8161.0,0.95,0.6,0.5,-2.7972027972027975
97,8160.0,0.95,0.5,0.5,-4.040404040404041
98,7864.0,1.05,0.1,0.3,-133.33333333333337
99,7863.0,1.05,0.0,0.3,399.9999999999993
100,8159.0,0.95,0.4,0.5,-6.349206349206348
101,8158.0,0.95,0.3,0.5,-11.428571428571429
102,8157.0,0.95,0.2,0.5,-26.666666666666664
103,8156.0,0.95,0.1,0.5,-133.33333333333337
104,8155.0,0.95,0.0,0.5,399.9999999999993
105,8154.0,0.85,0.9,0.5,-1.2698412698412698
106,8153.0,0.85,0.8,0.5,-1.6194331983805663
107,8152.0,0.85,0.7,0.5,-2.1390374331550808
108,7854.0,0.95,0.1,0.3,-133.33333333333337
109,7853.0,0.95,0.0,0.3,399.9999999999993
110,8151.0,0.85,0.6,0.5,-2.9629629629629632
111,8150.0,0.85,0.5,0.5,-4.395604395604396
112,8149.0,0.85,0.4,0.5,-7.2727272727272725
113,8148.0,0.85,0.3,0.5,-14.814814814814817
114,8147.0,0.85,0.2,0.5,-57.14285714285714
115,8146.0,0.85,0.1,0.5,79.99999999999997
116,8145.0,0.85,0.0,0.5,44.444444444444436
117,7845.0,0.85,0.2,0.3,-57.14285714285714
118,7844.0,0.85,0.1,0.3,79.99999999999997
119,7843.0,0.85,0.0,0.3,44.444444444444436
120,8144.0,0.75,0.9,0.5,-1.3377926421404682
121,8143.0,0.75,0.8,0.5,-1.7316017316017311
122,8142.0,0.75,0.7,0.5,-2.339181286549708
123,8141.0,0.75,0.6,0.5,-3.361344537815126
124,8140.0,0.75,0.5,0.5,-5.333333333333333
125,8139.0,0.75,0.4,0.5,-10.256410256410254
126,7836.0,0.75,0.3,0.3,-36.36363636363637
127,7835.0,0.75,0.2,0.3,44.44444444444446
128,8138.0,0.75,0.3,0.5,-36.36363636363637
129,8137.0,0.75,0.2,0.5,44.44444444444446
130,8136.0,0.75,0.1,0.5,19.047619047619047
131,8135.0,0.75,0.0,0.5,16.0
132,8134.0,0.65,0.9,0.5,-1.4545454545454544
133,8133.0,0.65,0.8,0.5,-1.9323671497584534
134,8132.0,0.65,0.7,0.5,-2.72108843537415
135,7827.0,0.65,0.4,0.3,-26.666666666666632
136,7826.0,0.65,0.3,0.3,30.76923076923078
137,8131.0,0.65,0.6,0.5,-4.2105263157894735
138,8130.0,0.65,0.5,0.5,-7.8431372549019605
139,8129.0,0.65,0.4,0.5,-26.666666666666632
140,8128.0,0.65,0.3,0.5,30.76923076923078
141,8127.0,0.65,0.2,0.5,12.121212121212125
142,8126.0,0.65,0.1,0.5,8.88888888888889
143,8125.0,0.65,0.0,0.5,8.163265306122451
144,7818.0,0.55,0.5,0.3,-21.05263157894735
145,7817.0,0.55,0.4,0.3,23.529411764705923
146,8124.0,0.55,0.9,0.5,-1.6460905349794235
147,8123.0,0.55,0.8,0.5,-2.2857142857142847
148,8122.0,0.55,0.7,0.5,-3.4782608695652177
149,8121.0,0.55,0.6,0.5,-6.349206349206348
150,8120.0,0.55,0.5,0.5,-21.05263157894735
151,8119.0,0.55,0.4,0.5,23.529411764705923
152,8118.0,0.55,0.3,0.5,8.888888888888893
153,7809.0,0.45,0.6,0.3,-17.391304347826104
154,7808.0,0.45,0.5,0.3,19.04761904761903
155,8117.0,0.55,0.2,0.5,6.153846153846156
156,8116.0,0.55,0.1,0.5,5.1948051948051965
157,8115.0,0.55,0.0,0.5,4.938271604938272
158,8114.0,0.45,0.9,0.5,-1.9704433497536944
159,8113.0,0.45,0.8,0.5,-2.9629629629629624
160,8112.0,0.45,0.7,0.5,-5.333333333333337
161,8111.0,0.45,0.6,0.5,-17.391304347826104
162,7800.0,0.35,0.7,0.3,-14.814814814814838
163,7799.0,0.35,0.6,0.3,15.999999999999986
164,8110.0,0.45,0.5,0.5,19.04761904761903
165,8109.0,0.45,0.4,0.5,7.017543859649122
166,8108.0,0.45,0.3,0.5,4.705882352941176
167,8107.0,0.45,0.2,0.5,3.8095238095238084
168,8106.0,0.45,0.1,0.5,3.418803418803418
169,8105.0,0.45,0.0,0.5,3.305785123966942
170,8104.0,0.35,0.9,0.5,-2.5806451612903225
171,7791.0,0.25,0.8,0.3,-12.903225806451593
172,7790.0,0.25,0.7,0.3,13.79310344827585
173,8103.0,0.35,0.8,0.5,-4.597701149425285
174,8102.0,0.35,0.7,0.5,-14.814814814814838
175,8101.0,0.35,0.6,0.5,15.999999999999986
176,8100.0,0.35,0.5,0.5,5.7971014492753605
177,8099.0,0.35,0.4,0.5,3.8095238095238093
178,8098.0,0.35,0.3,0.5,3.007518796992481
179,8097.0,0.35,0.2,0.5,2.61437908496732
180,8096.0,0.35,0.1,0.5,2.424242424242424
181,8095.0,0.35,0.0,0.5,2.3668639053254434
182,8094.0,0.25,0.9,0.5,-4.04040404040404
183,8093.0,0.25,0.8,0.5,-12.903225806451593
184,8092.0,0.25,0.7,0.5,13.79310344827585
185,8091.0,0.25,0.6,0.5,4.938271604938271
186,8090.0,0.25,0.5,0.5,3.2
187,8089.0,0.25,0.4,0.5,2.4844720496894412
188,8088.0,0.25,0.3,0.5,2.1164021164021163
189,8087.0,0.25,0.2,0.5,1.9138755980861246
190,7073.0,0.05,0.0,0.6,1.10803324099723
191,7074.0,0.05,0.1,0.6,1.1204481792717087
192,7075.0,0.05,0.2,0.6,1.1594202898550725
193,7076.0,0.05,0.3,0.6,1.2307692307692308
194,7077.0,0.05,0.4,0.6,1.3468013468013469
195,7078.0,0.05,0.5,0.6,1.5325670498084292
196,7079.0,0.05,0.6,0.6,1.8433179723502304
197,7080.0,0.05,0.7,0.6,2.424242424242424
198,7081.0,0.05,0.8,0.6,3.809523809523812
199,7082.0,0.05,0.9,0.6,10.810810810810821
200,7083.0,0.15,0.0,0.6,1.384083044982699
201,7084.0,0.15,0.1,0.6,1.4035087719298247
202,7085.0,0.15,0.2,0.6,1.4652014652014655
203,7086.0,0.15,0.3,0.6,1.58102766798419
204,7087.0,0.15,0.4,0.6,1.7777777777777781
205,7088.0,0.15,0.5,0.6,2.1164021164021167
206,7089.0,0.15,0.6,0.6,2.758620689655173
207,7090.0,0.15,0.7,0.6,4.301075268817205
208,7091.0,0.15,0.8,0.6,12.121212121212151
209,7092.0,0.15,0.9,0.6,-11.428571428571411
210,7093.0,0.25,0.0,0.6,1.7777777777777777
211,7094.0,0.25,0.1,0.6,1.8099547511312217
212,7095.0,0.25,0.2,0.6,1.9138755980861246
