,ID,k,g,s,macro_m,min,max,mag_avg,ray_avg,min_mag,max_mag,const
2097,45071.0,1.1,1.2,0.1,-0.6993006993006994,56,129752,-0.703301,461.811,0.0852834947630091,197.60185736589213,0.0015229195493394
2098,45072.0,1.1,1.2,0.2,-0.6993006993006994,52,118787,-0.718034,471.485,0.079191847036491,180.90311411391664,0.0015229201353171
2099,45073.0,1.1,1.2,0.3,-0.6993006993006994,36,176870,-0.70716,464.345,0.0548250977182913,269.35875092872755,0.0015229193810636
2100,45074.0,1.1,1.2,0.4,-0.6993006993006994,49,127902,-0.713357,468.414,0.0746230748867454,194.7845004931535,0.0015229198956478
2101,45075.0,1.1,1.2,0.5,-0.6993006993006994,61,324103,-0.690935,453.691,0.0928981068612778,493.5828709518152,0.0015229197846111
2102,45076.0,1.1,1.2,0.6,-0.6993006993006994,46,220678,-0.657387,431.662,0.070054352711149,336.0750966867596,0.0015229207111119
2103,45077.0,1.1,1.2,0.7,-0.6993006993006994,92,199955,-0.70839,465.152,0.1401087816455696,304.5157764558681,0.0015229215396257
2104,45078.0,1.1,1.2,0.8,-0.6993006993006994,80,208422,-0.709646,465.977,0.1218336527339332,317.410169626398,0.0015229206591741
2105,45079.0,1.1,1.2,0.9,-0.6993006993006994,140,460180,-0.713013,468.188,0.2132088391842593,700.8174543986604,0.0015229202798875
2106,45080.0,1.1,1.25,0.0,-0.644122383252818,46,101042,-0.606344,432.253,0.0645266175133544,141.73692362574698,0.0014027525546381
2107,45081.0,1.1,1.25,0.1,-0.644122383252818,31,106712,-0.56821,405.067,0.043485423399092,149.69085489560987,0.001402755593519
2108,45082.0,1.1,1.25,0.2,-0.644122383252818,42,146400,-0.633394,451.536,0.0589156744977144,205.36320824917613,0.0014027541547074
2109,45083.0,1.1,1.25,0.3,-0.644122383252818,49,170458,-0.695479,495.795,0.0687350033784124,239.11084093627403,0.001402755170988
2110,45084.0,1.1,1.25,0.4,-0.644122383252818,46,301085,-0.681244,485.647,0.0645267529707791,422.3486395262402,0.0014027554993647
2111,45085.0,1.1,1.25,0.5,-0.644122383252818,66,266023,-0.683078,486.955,0.0925817539608382,373.1647868776376,0.0014027538478914
2112,45086.0,1.1,1.25,0.6,-0.644122383252818,59,205530,-0.701052,499.768,0.0827625378175473,288.30821012950014,0.0014027548782635
2113,45087.0,1.1,1.25,0.7,-0.644122383252818,76,153713,-0.60317,429.99,0.1066092699830228,215.62145680132093,0.0014027535524081
2114,45088.0,1.1,1.25,0.8,-0.644122383252818,119,225085,-0.645894,460.447,0.166927759329521,315.73894713180886,0.00140275428008
2115,45089.0,1.1,1.25,0.9,-0.644122383252818,109,375848,-0.631987,450.533,0.1529001937704896,527.2223121857888,0.0014027540712888
2116,45090.0,1.1,1.3,0.0,-0.5952380952380952,10,118371,-0.586592,452.514,0.0129629580521265,153.44383075882735,0.0012962958052126
2117,45091.0,1.1,1.3,0.1,-0.5952380952380952,43,102845,-0.550136,424.391,0.0557406919562384,133.3174759125429,0.0012962951617729
2118,45092.0,1.1,1.3,0.2,-0.5952380952380952,56,122218,-0.644391,497.102,0.0725925383522898,158.43062236321722,0.0012962953277194
2119,45093.0,1.1,1.3,0.3,-0.5952380952380952,46,220553,-0.588139,453.708,0.0596295282428345,285.9015509248239,0.0012962940922355
2120,45094.0,1.1,1.3,0.4,-0.5952380952380952,56,299791,-0.592046,456.721,0.0725926243811867,388.6181331403635,0.0012962968639497
2121,45095.0,1.1,1.3,0.5,-0.5952380952380952,57,218175,-0.535565,413.15,0.0738889144378555,282.81954223647585,0.0012962967445237
2122,45096.0,1.1,1.3,0.6,-0.5952380952380952,60,177436,-0.589713,454.922,0.0777776849657743,230.00935515978563,0.0012962947494295
2123,45097.0,1.1,1.3,0.7,-0.5952380952380952,82,225794,-0.647178,499.252,0.1062962111318532,292.6956914183619,0.0012962952577055
2124,45098.0,1.1,1.3,0.8,-0.5952380952380952,122,297228,-0.615743,475.002,0.1581480625344735,385.2953469753812,0.0012962955945448
2125,45099.0,1.1,1.3,0.9,-0.5952380952380952,95,434311,-0.59041,455.46,0.1231479163922188,562.9946812233786,0.0012962938567601
2126,45100.0,1.1,1.35,0.0,-0.5517241379310344,30,107487,-0.478145,397.946,0.0360459710614002,129.1491097158911,0.0012015323687133
2127,45101.0,1.1,1.35,0.1,-0.5517241379310344,53,143643,-0.542635,451.619,0.0636812335176332,172.59176275798848,0.0012015327078798
2128,45102.0,1.1,1.35,0.2,-0.5517241379310344,57,155584,-0.57356,477.357,0.0684873585178388,186.93924890595505,0.0012015326055761
2129,45103.0,1.1,1.35,0.3,-0.5517241379310344,48,130185,-0.509737,424.239,0.0576735660794976,156.4215250012375,0.0012015326266562
2130,45104.0,1.1,1.35,0.4,-0.5517241379310344,61,263315,-0.565326,470.504,0.0732935022869093,316.3816156504514,0.0012015328243755
2131,45105.0,1.1,1.35,0.5,-0.5517241379310344,79,141759,-0.504324,419.735,0.0949208333829678,170.32762556374854,0.0012015295364932
2132,45106.0,1.1,1.35,0.6,-0.5517241379310344,51,251342,-0.559297,465.487,0.0612780743608307,301.9951718823512,0.0012015308698202
2133,45107.0,1.1,1.35,0.7,-0.5517241379310344,81,196510,-0.53585,445.972,0.097324159364265,236.1132167490336,0.0012015328316575
2134,45108.0,1.1,1.35,0.8,-0.5517241379310344,95,262550,-0.531821,442.62,0.1141453052279607,315.4615777642221,0.0012015295287153
2135,45109.0,1.1,1.35,0.9,-0.5517241379310344,129,469379,-0.566794,471.726,0.154997659658361,563.9740038200142,0.0012015322454136
2136,45110.0,1.1,1.4,0.0,-0.5128205128205129,71,101971,-0.491118,439.751,0.0792934592530773,113.88215962669786,0.0011168092852546
