,ID,min,max,mag_avg,ray_avg,min_mag,max_mag,const,k,g,s,macro_m
0,8412,112,42917,-4.51896,451.32,1.1214294070725872,429.71773092262697,0.010012762563148,1.65,0.8,0.9,-4.597701149425282
1,49805,333,592,-0.475515,456.349,0.3469855198543221,0.6168631464076837,0.001041998558121,0.6,1.5,0.99,-0.4784688995215311
2,44961,55,154706,-0.466655,514.809,0.049855431820345,140.23517154905994,0.0009064623967335,1.0,1.55,0.1,-0.4162330905306971
3,49396,43,6500,97.0691,445.726,9.364433082207457,1415.5538380081036,0.2177775135397082,0.9,0.0,0.6,100.00000000000006
4,49958,157,231594,-0.373098,464.707,0.1260501477274928,185.93922237452847,0.0008028671829776,0.9,1.65,0.99,-0.3686635944700461
5,47399,122,129022,-2.10328,463.581,0.5535174219823503,585.3764329426788,0.0045370280490356,1.4,0.8,0.9,-2.0833333333333326
6,46266,34,112799,-1.49659,453.559,0.1121884032727826,372.1982264931354,0.0032996589197877,0.75,0.85,0.6,-1.5151515151515154
7,47921,49,17547,-9.47537,522.113,0.8892579384156302,318.4450825587564,0.0181481211921557,1.2,0.4,0.1,-8.33333333333333
8,46151,34,34876,-3.64479,451.88,0.2742384261308311,281.3040985217314,0.0080658360626715,0.7,0.6,0.1,-3.703703703703704
9,8528,47,107594,-6.89746,435.49,0.7444042802360559,1704.115619738685,0.0158383889411926,1.15,0.4,0.7,-7.272727272727269
10,46720,23,97861,-0.98655,499.441,0.0454320930800635,193.3056548220911,0.0019753083947853,1.0,1.05,0.0,-0.9070294784580498
11,35465,10,40199,-9.69167,445.026,0.2177776129933981,875.4442264721612,0.0217777612993398,0.55,0.55,0.6,-9.999999999999991
12,42133,271,44372,1.42457,449.72,0.8584418527083517,140.556390732011,0.0031676821133149,0.1,0.35,0.2,1.4545454545454544
13,8890,70,53355,-4.06385,443.188,0.6418709441591379,489.24320322301145,0.0091695849165591,1.35,0.6,0.4,-4.210526315789475
14,48880,51,18145,-5.40014,446.339,0.6170357956620417,219.5316571036813,0.0120987410914125,0.85,0.45,0.0,-5.555555555555555
15,7219,42,82552,-6.14436,444.369,0.5807406007169716,1141.4594778663677,0.0138271571599278,1.45,0.6,0.6,-6.349206349206348
16,41712,129,46380,3.44812,474.997,0.936442714375038,336.6838224241416,0.0072592458478685,0.15,0.65,0.1,3.333333333333335
17,7452,12,58776,-2.5809,459.23,0.0674407159810988,330.32462687542187,0.0056200596650915,0.35,0.9,0.8,-2.5806451612903225
18,8862,41,156110,-1.29723,379.737,0.1400612265857685,533.2916605440081,0.0034161274777016,1.05,0.8,0.4,-1.568627450980392
19,10500,125,594735,-0.717369,466.931,0.1920436317143218,913.7205544609376,0.0015363490537145,1.15,1.2,0.9,-0.7054673721340388
20,9872,32,112388,-1.14071,475.347,0.0767917331970118,269.7021659545553,0.0023997416624066,0.45,1.1,0.4,-1.1019283746556472
21,8411,77,24709,-15.2353,472.216,2.4842828281972658,797.1966805444966,0.0322634133532112,1.65,0.7,0.9,-14.814814814814802
22,43769,15,119873,-1.15117,475.74,0.0362961911968722,290.06222182284444,0.0024197460797914,0.35,1.15,0.2,-1.1111111111111116
23,49893,124,80189,-1.29922,459.367,0.3507071252397321,226.7972069826522,0.0028282832680623,0.8,0.9,0.99,-1.2987012987012987
24,48435,25,171433,2.73209,448.495,0.1522921102799362,1044.3157336648123,0.0060916844111974,1.6,0.05,0.5,2.7972027972027966
25,8608,163,46067,2.5152,464.863,0.8819320961229438,249.25132436868495,0.0054106263565824,0.25,0.4,0.2,2.484472049689441
26,43432,31,91533,-0.905306,457.273,0.0613735908308603,181.2164157910045,0.0019797932526083,0.15,1.35,0.5,-0.9090909090909088
27,24528,26,13529,-19.0449,437.257,1.1324401896367582,589.2608971382962,0.043555391909106,0.8,0.3,0.5,-19.999999999999996
28,29787,69,120522,-1.41941,464.385,0.2109010626958235,368.3799692496528,0.0030565371405191,0.9,0.85,0.6,-1.4035087719298247
29,41932,16,124480,-1.33408,490.07,0.0435555736935539,338.86236333585,0.0027222233558471,0.45,1.05,0.1,-1.25
30,47376,64,145527,-2.84206,430.659,0.4223569924232397,960.3804068183877,0.0065993280066131,1.4,0.7,0.6,-3.0303030303030303
31,42832,39,13231,10.49,469.643,0.8711084802711848,295.52913596071915,0.0223361148787483,0.6,0.25,0.1,10.256410256410254
32,46274,26,86429,-0.953838,455.506,0.0544444815216484,180.98392667055975,0.0020940185200634,0.75,1.05,0.4,-0.9615384615384616
33,42397,16,111257,-1.75046,458.156,0.0611306192650538,425.0755817232558,0.0038206637040658,0.2,1.1,0.6,-1.7543859649122806
34,49217,46,13604,54.9517,441.576,5.724446527891009,1692.9428383788977,0.124444489736761,0.8,0.15,0.7,57.1428571428572
35,20764,33,6565,-24.5858,479.8,1.6909783243017924,336.4022030012505,0.0512417674030846,0.6,0.45,0.1,-23.52941176470589
36,9889,68,196099,-0.454581,471.223,0.0655984703632887,189.17344764368465,0.0009646833876954,0.45,1.6,0.6,-0.4429678848283498
37,45493,65,140187,-0.439303,435.717,0.0655349573232166,141.3407548041504,0.0010082301126648,1.3,1.5,0.3,-0.4629629629629629
38,44558,38,127387,-0.66412,464.292,0.0543549318101539,182.2134657500022,0.0014303929423724,0.8,1.25,0.1,-0.6568144499178982
39,50264,0,58222,10.1901,467.914,0.0,1267.9424043734532,0.021777719837406,1.55,0.45,0.99,9.999999999999996
40,47805,65,67962,8.7683,483.152,1.1796277361989602,1233.3824647315955,0.0181481190184455,1.65,0.55,0.5,8.333333333333345
